Accession,Ploidy,Prop_Msi
JPN-2010-011,4x,0.027
KMS395,4x,0.002
KMS253,4x,0
JM2014-H-63,4x,0
JM2014-H-10,4x,0.002
JM2014-K-2,4x,0
JY013,4x,0
JY159,4x,0
JM2014-H-4,4x,0.001
JM11-002,4x,0.181
KMS316,4x,0.01
UI11-00038,4x,0
KMS420,4x,0.002
JM2014-K-5,4x,0.086
KMS413,4x,0.011
JM2014-H-5,4x,0
KMS430,4x,0.056
JM2014-H-75,4x,0
JM2014-M-9,4x,0.02
JPN-2011-018,4x,0.046
JM2014-H-20,4x,0
JM2014-H-50,4x,0
JM2014-H-57,4x,0.018
JY160,2x,0
JY229,2x,
RU2012-157,2x,0
JY302,2x,0
JY263-HU,,
JY103,,
RU2012-119,2x,0.006
UI10-00123,3x,0.333
JY219,2x,
blank-Msa58,,
JY103-HU,,
RU2012-112,2x,0.001
RU2012-116,2x,0.002
JY158,2x,0
RU2012-152,2x,0
RU2012-174,2x,0.001
JY085,2x,
JY298,,
RU2012-110,2x,0.005
RU2012-144,2x,0
RU2012-196,2x,0.002
RU2012-113,2x,0
JY237,2x,
JY084,2x,
JY295,,
JY290,2x,
RU2012-140,2x,0.001
RU2012-053,2x,0
JY263,,
JY024,2x,0
RU2012-064,2x,0.003
RU2012-072,2x,0.001
RU2012-146,2x,0.002
RU2012-193-5,2x,0.001
RU2012-209,2x,0
RU2012-211,2x,0.006
JY065,2x,0.005
RU2012-074,2x,0
JY283,2x,0
JY082,2x,0.001
KMS371,2x,0.008
blank-Msa52,,
JY297,2x,0
JY019,2x,0
RU2012-124-5,2x,0.005
RU2012-058-62,2x,0.008
KMS355-8,2x,0.004
RU2012-199,2x,0.002
RU2012-081,2x,0.003
JY195,2x,0.005
RU2012-070,2x,0.008
RU2012-034,2x,0.004
RU2012-205,2x,0.001
JY253,2x,0.001
RU2012-184,2x,0.001
RU2012-153,2x,0.001
RU2012-130,2x,0.002
KMS330,4x,0.082
KMS403,4x,0.045
JY133,3x,0.002
RU2012-085,2x,0
JY068,2x,0
KMS369,3x,0.001
RU2012-208,2x,0.007
RU2012-159,2x,0.004
RU2012-189,2x,0.012
KMS379,2x,0.002
JY233,2x,0.001
JY250,2x,0.002
RU2012-091,2x,0.004
RU2012-099,2x,0.003
RU2012-178,2x,0.004
RU2012-014,2x,0.006
JM2014-H-62,4x,0.001
RU2012-128,2x,0.004
JY169,2x,0.001
JY072,2x,0.001
KMS359,2x,0.276
RU2012-188,2x,0.007
JY059,2x,0
JY070,2x,0
JY161,2x,0
JY066,2x,0.002
RU2012-212,2x,0
JY281,2x,0
JY231,2x,0.001
JY026,2x,0
RU2012-088,2x,0.008
JY095,2x,0
JY113-4,2x,0
KMS388,2x,0.003
KMS354,4x,0.087
JY052,2x,0.001
RU2012-175,2x,0.005
KMS366,3x,0.327
KMS375,2x,0.001
KMS362,2x,0
JY032,2x,0
KMS348,4x,0.022
RU2012-044-5,2x,0.003
KMS360,2x,0
JM2014-K-6,4x,0.254
RU2012-170,2x,0.008
JY110,2x,0
RU2012-117-8,2x,0.003
KMS401,2x,0.001
RU2012-149-51,2x,0.01
RU2012-183,2x,0.005
RU2012-206,2x,0.004
KMS350,2x,0
RU2012-027,2x,0.003
JY027,2x,0
RU2012-082,2x,0.004
JY197,2x,0.001
JM2014-H-2,4x,0
blank-Msa53,,
RU2012-049,2x,0.006
RU2012-092-4,2x,0.009
RU2012-150,2x,0
RU2012-213,2x,0.006
RU2012-069,2x,0
JY212,2x,0.002
JY240,2x,0.002
RU2012-017-8,2x,0.003
